TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-02-15 19:18:29.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-0167
2025-02-15 19:18:29.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:29.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:29.597,0,0.28517085059471,0.1353378502513096,0,0,0.0119456402494995,0.148114652053164,0,0,0.1670103159629644,0.6011998892135968,0,0,0.2562811071337167,0.3872729905658245,0,0,-0.1200901074876214,0.05089958844299967,0,594.7252747252747,763.1501831501831,759.92673992674,122.4908424908425,1170.915750915751,0.473083,0.135437,0.876465,0.575714,-2.183228,-0.194397,1,2,1,1,4,50.000000
2025-02-15 19:18:30.098,0,0.247423194145636,0.4175761481228459,0,0,-0.1034617939134968,0.1448006753800842,0,0,0.1378271980605488,0.5958403231955152,0,0,0.1951092200784723,0.2035728933722843,0,0,-0.04372844598730289,-0.03678609440787293,0,899.7435897435897,758.7179487179487,767.985347985348,599.5604395604396,849.3772893772895,0.466675,0.136841,0.872070,0.328979,-2.272949,-0.216827,1,4,1,1,4,50.000000
2025-02-15 19:18:30.130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:30.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:30.598,0,0.2760858689129053,0.4483167985043371,0,0,-0.1205670435058767,0.01514661310506969,0,0,0.1403183469371635,0.1621110538361368,0,0,0.2375048332721301,0.1502567796528642,0,0,0.09011834156846242,-0.09514746276305837,0,1070.989010989011,762.3443223443223,763.5531135531136,1037.948717948718,983.1501831501831,0.463013,0.136292,0.875366,0.710297,-2.145844,-0.014954,1,2,1,1,4,50.000000
2025-02-15 19:18:31.030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:31.111,0,0.221967445979415,0.4687250798118803,0,0,-0.009020864877345242,0.03367575047087831,0,0,0.335133909842372,0.07580363103271276,0,0,0.2757568147608889,0.2022878894042858,0,0,0.1159114324465599,0.0185704089907436,0,1390.512820512821,766.3736263736264,756.3003663003664,1182.197802197802,983.956043956044,0.464539,0.135620,0.873291,0.643005,-2.078552,-0.149536,1,2,1,1,2,50.000000
2025-02-15 19:18:31.604,0,0.1148633510923119,0.3644603044357669,0,0,0.02942978062247154,0.00916093980630087,0,0,0.3947579026797736,0.1441637489697018,0,0,0.3680007902447403,0.3615445757123256,0,0,0.06293012515723635,0.08152352982947099,0,1429.194139194139,776.0439560439561,761.5384615384615,0,828.8278388278388,0.462158,0.136108,0.879639,1.226196,-2.639313,-0.396271,1,2,1,1,4,50.000000
2025-02-15 19:18:31.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:32.099,0,0.03918057299285734,0.2997248055427863,0,0,-0.03755859530513354,-0.172832546102394,0,0,0.3805500507405273,0.2217577759401482,0,0,0.4219902250866686,0.4834208110701116,0,0,-0.05856906142179707,0.1160898456722806,0,746.2271062271062,768.3882783882784,754.6886446886447,1128.608058608059,772.4175824175825,0.465149,0.138306,0.877441,0.530853,-1.988831,-0.171967,1,2,1,1,4,50.000000
2025-02-15 19:18:32.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-02-15 19:18:32.607,0,0.06062268489660053,0.2250846398971275,0,0,-0.2423083439149989,-0.3023315565435963,0,0,0.3363589908902564,0.2223789521809865,0,0,0.4367273555550252,0.4810803401778037,0,0,-0.1940833440510966,0.02591516515295857,0,858.2417582417582,772.014652014652,770.8058608058608,1162.454212454212,932.7838827838829,0.462036,0.136169,0.876892,0.441132,-1.951447,-0.358887,1,2,1,1,4,50.000000
2025-02-15 19:18:33.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-02-15 19:18:33.100,0,0.1091173763417856,0.1125513844363545,0,0,-0.450466961156937,-0.2891445616778655,0,0,0.2283631516003971,0.2243380074914175,0,0,0.3828906889052529,0.3958840963392189,0,0,-0.2137516929951503,0.05395463262453781,0,927.1428571428572,781.6849816849817,784.5054945054945,238.5347985347985,1126.593406593407,0.480835,0.146790,0.880371,0.545807,-3.611298,1.951447,1,2,1,1,4,50.000000
2025-02-15 19:18:33.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-02-15 19:18:33.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
